[ 13-12-2012 @07:42:39 ] | DEBUG | (ScreenOperations.java : 79) =>   ===========Currently in addNewScreen method===========
[ 13-12-2012 @07:42:39 ] | INFO  | (ScreenOperations.java : 105) =>   -----------Add new screen success---------
[ 13-12-2012 @07:42:39 ] | DEBUG | (ScreenOperations.java : 106) =>   ------Numbers of rows affected: 1--------
[ 13-12-2012 @07:42:42 ] | INFO  | (ScreenOperations.java : 113) =>   =============CURRENTLY IN VIEW CINEMA SCREENS BODY============
[ 13-12-2012 @07:42:42 ] | DEBUG | (ScreenOperations.java : 114) =>   ===========Currently in displayScreens method===========
[ 13-12-2012 @07:42:42 ] | INFO  | (ScreenOperations.java : 133) =>   --------View screens success---------
[ 13-12-2012 @07:42:51 ] | INFO  | (ScreenOperations.java : 225) =>   =============CURRENTLY IN VIEW CINEMA SCREENS BODY============
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenOperations.java : 226) =>   ===========Currently in deleteScreen method===========
[ 13-12-2012 @07:42:51 ] | INFO  | (ScreenOperations.java : 230) =>   Screen ID to be deleted is: 5
[ 13-12-2012 @07:42:51 ] | INFO  | (ScreenOperations.java : 248) =>   -----------Delete screen success---------
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenOperations.java : 249) =>   ------Numbers of rows affected: 1--------
[ 13-12-2012 @07:42:51 ] | INFO  | (ScreenOperations.java : 113) =>   =============CURRENTLY IN VIEW CINEMA SCREENS BODY============
[ 13-12-2012 @07:42:51 ] | DEBUG | (ScreenOperations.java : 114) =>   ===========Currently in displayScreens method===========
[ 13-12-2012 @07:42:51 ] | INFO  | (ScreenOperations.java : 133) =>   --------View screens success---------
[ 14-12-2012 @01:39:29 ] | INFO  | (AdminLogin.java : 29) =>   =============CURRENTLY IN ADMIN LOGIN PAGE============
[ 14-12-2012 @01:39:29 ] | DEBUG | (AdminLogin.java : 30) =>   ===========Currently in execute method===========
[ 14-12-2012 @01:39:29 ] | DEBUG | (AdminLogin.java : 32) =>   ---------username and passwords matched------------
[ 14-12-2012 @01:40:54 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 14-12-2012 @01:40:54 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 14-12-2012 @01:40:56 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 14-12-2012 @01:42:05 ] | INFO  | (CinemaOperations.java : 133) =>   =============CURRENTLY IN VIEW CINEMA THEATRES BODY============
[ 14-12-2012 @01:42:05 ] | DEBUG | (CinemaOperations.java : 134) =>   ===========Currently in displayCinemaTheatres method===========
[ 14-12-2012 @01:42:05 ] | INFO  | (CinemaOperations.java : 152) =>   --------View cinemas success---------
[ 14-12-2012 @01:42:09 ] | INFO  | (MovieOperations.java : 97) =>   =============LOADING ADD MOVIE BODY============
